match_id,date,team_1,team_2,venue,winner,competition,is_world_cup
1001349,2017-02-17,Australia,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,Sri Lanka in Australia T20I Series,False
1001351,2017-02-19,Australia,Sri Lanka,"Simonds Stadium, South Geelong",Sri Lanka,Sri Lanka in Australia T20I Series,False
1001353,2017-02-22,Australia,Sri Lanka,Adelaide Oval,Australia,Sri Lanka in Australia T20I Series,False
1004729,2016-09-05,Ireland,Hong Kong,"Bready Cricket Club, Magheramason",Hong Kong,Hong Kong in Ireland T20I Series,False
1007655,2016-06-18,Zimbabwe,India,Harare Sports Club,Zimbabwe,India in Zimbabwe T20I Series,False
1007657,2016-06-20,Zimbabwe,India,Harare Sports Club,India,India in Zimbabwe T20I Series,False
1007659,2016-06-22,Zimbabwe,India,Harare Sports Club,India,India in Zimbabwe T20I Series,False
1019979,2017-01-03,New Zealand,Bangladesh,McLean Park,New Zealand,Bangladesh in New Zealand T20I Series,False
1019981,2017-01-06,New Zealand,Bangladesh,Bay Oval,New Zealand,Bangladesh in New Zealand T20I Series,False
1019983,2017-01-08,New Zealand,Bangladesh,Bay Oval,New Zealand,Bangladesh in New Zealand T20I Series,False
1020029,2017-02-17,New Zealand,South Africa,Eden Park,South Africa,,False
1031431,2017-06-21,England,South Africa,The Rose Bowl,England,South Africa in England T20I Series,False
1031433,2017-06-23,England,South Africa,County Ground,South Africa,South Africa in England T20I Series,False
1031435,2017-06-25,England,South Africa,Sophia Gardens,England,South Africa in England T20I Series,False
1031665,2017-09-16,West Indies,England,Riverside Ground,West Indies,West Indies tour of England,False
1034825,2017-01-26,India,England,Green Park,England,England in India T20I Series,False
1034827,2017-01-29,India,England,"Vidarbha Cricket Association Stadium, Jamtha",India,England in India T20I Series,False
1034829,2017-02-01,India,England,M Chinnaswamy Stadium,India,England in India T20I Series,False
1041615,2016-08-27,India,West Indies,Central Broward Regional Park Stadium Turf Ground,West Indies,West Indies v India T20I Series,False
1050217,2016-09-23,Pakistan,West Indies,Dubai International Cricket Stadium,Pakistan,Pakistan v West Indies T20I Series,False
1050219,2016-09-24,Pakistan,West Indies,Dubai International Cricket Stadium,Pakistan,Pakistan v West Indies T20I Series,False
1050221,2016-09-27,Pakistan,West Indies,Sheikh Zayed Stadium,Pakistan,Pakistan v West Indies T20I Series,False
1072316,2018-02-03,New Zealand,Australia,Sydney Cricket Ground,Australia,Trans-Tasman Twenty20 Trophy,False
1072317,2018-02-07,England,Australia,Bellerive Oval,Australia,Trans-Tasman Twenty20 Trophy,False
1072318,2018-02-10,England,Australia,Melbourne Cricket Ground,Australia,Trans-Tasman Twenty20 Trophy,False
1072319,2018-02-13,New Zealand,England,Westpac Stadium,New Zealand,Trans-Tasman Twenty20 Trophy,False
1072320,2018-02-16,New Zealand,Australia,Eden Park,Australia,Trans-Tasman Twenty20 Trophy,False
1072321,2018-02-18,England,New Zealand,Seddon Park,England,Trans-Tasman Twenty20 Trophy,False
1072322,2018-02-21,New Zealand,Australia,Eden Park,Australia,Trans-Tasman Twenty20 Trophy,False
1074957,2017-01-14,Hong Kong,Scotland,Sheikh Zayed Stadium,Scotland,Desert T20 Challenge,False
1074959,2017-01-15,Netherlands,Oman,Sheikh Zayed Stadium,Netherlands,Desert T20 Challenge,False
1074961,2017-01-16,Hong Kong,Oman,Sheikh Zayed Stadium,Oman,Desert T20 Challenge,False
1074964,2017-01-17,Netherlands,Scotland,Sheikh Zayed Stadium,Scotland,Desert T20 Challenge,False
